S.No,Startup,City,Funding Raised (reported),Stage,Key Investors,Source,Hiring Signal,Stage Tier,Applied? / Notes,ats,career_url,confidence
1,QpiAI,Bengaluru,$65M,Early Stage,"We Founder Circle, YourNest VC, HEM Angels","Inc42 AI Startup Tracker, Feb 2026","Well-funded, scaling AI+quantum team",Pre-Seed / Seed,,needs-resolution,,
2,Nurix AI,Bengaluru,$27.5M,Early Stage,"Accel, General Catalyst, Meraki Labs","Inc42 AI Startup Tracker, Feb 2026","Recently funded, scaling",Pre-Seed / Seed,,needs-resolution,,
3,OrbitShift,Bengaluru/SF,$8.5M,Early Stage,"Stellaris, Venture Highway, Surge","Inc42 AI Startup Tracker, Feb 2026",Recent $7M seed Jan 2026,Pre-Seed / Seed,,needs-resolution,,
4,Actyv AI,Bengaluru,$12M,Early Stage,1Digi,"Inc42 AI Startup Tracker, Feb 2026",Well-funded,Pre-Seed / Seed,,needs-resolution,,
5,BrainsightAI,Bengaluru,$6.6M,Early Stage,"NetApp Excellerator, IAN Group, Redstart Labs","Inc42 AI Startup Tracker, Feb 2026",Growing team,Pre-Seed / Seed,,needs-resolution,,
6,Samya AI,Bengaluru,$6M,Early Stage,Peak XV,"Inc42 AI Startup Tracker, Feb 2026","Peak XV backed, scaling",Pre-Seed / Seed,,needs-resolution,,
7,Upliance,Bengaluru,$5.3M,Early Stage,"Rainmatter Capital, Google for Startups, Khosla Ventures","Inc42 AI Startup Tracker, Feb 2026","Hardware+AI, scaling",Pre-Seed / Seed,,needs-resolution,,
8,Limechat,Bengaluru,$4.95M,Early Stage,"Stellaris, Google for Startups, Pi Ventures","Inc42 AI Startup Tracker, Feb 2026","300+ brand clients, scaling",Pre-Seed / Seed,,needs-resolution,,
9,Raga AI,Bengaluru,$4.7M,Early Stage,"Pravega, Pi Ventures, Exfinity","Inc42 AI Startup Tracker, Feb 2026","AI infra, scaling",Pre-Seed / Seed,,needs-resolution,,
10,BarRaiser,Bengaluru,$4.2M,Early Stage,"021 Capital, Global Founders Capital","Inc42 AI Startup Tracker, Feb 2026","Hiring-tech itself, scaling",Pre-Seed / Seed,"ats-guess reverted: jobs.lever.co/barraiser is a staffing-agency board (postings include ""Bomb Cleaner"", ""Chief Executive Manager""), not the interview-as-a-service startup -- matches prior finding in docs/JOBS.md",needs-resolution,,
11,Maieutic Semiconductor,Bengaluru,$4.2M,Early Stage,"Endiya Partners, Exfinity","Inc42 AI Startup Tracker, Feb 2026","Chip design AI, recent raise",Pre-Seed / Seed,,needs-resolution,,
12,Binocs,Bengaluru,$4M,Early Stage,"Accel, Blume Ventures, BEENEXT, Arkam","Inc42 AI Startup Tracker, Feb 2026",Google Accelerator 2026 cohort,Pre-Seed / Seed,,needs-resolution,,
13,Zocket,Bengaluru,$3M,Early Stage,"AWS, Google, Kalaari Capital","Inc42 AI Startup Tracker, Feb 2026",AWS GenAI Accelerator alum,Pre-Seed / Seed,,needs-resolution,,
14,Athina AI,Bengaluru,$3M,Early Stage,"Y Combinator, Kleiner Perkins","Inc42 AI Startup Tracker, Feb 2026",YC-backed AI infra,Pre-Seed / Seed,,needs-resolution,,
15,August AI,Bengaluru,$3M,Early Stage,"Accel, Claypond Capital","Inc42 AI Startup Tracker, Feb 2026",Well-funded,Pre-Seed / Seed,,needs-resolution,,
16,Portkey,Bengaluru,$3M,Early Stage,"NetApp Excellerator, Lightspeed","Inc42 AI Startup Tracker, Feb 2026","AI infra, scaling",Pre-Seed / Seed,,needs-resolution,,
17,Presentations AI,Bengaluru,$3M,Early Stage,"Accel, Google for Startups","Inc42 AI Startup Tracker, Feb 2026",Scaling,Pre-Seed / Seed,,needs-resolution,,
18,Arrowhead,Bengaluru,$3M,Early Stage,"Stellaris, Campus Fund, Sector 7","Inc42 AI Startup Tracker, Feb 2026","Early stage, scaling",Pre-Seed / Seed,,needs-resolution,,
19,Blend AI,Bengaluru,$3.14M,Early Stage,"Surge, 3one4 Capital, Blume Ventures","Inc42 AI Startup Tracker, Feb 2026","15 proprietary AI models, scaling",Pre-Seed / Seed,,needs-resolution,,
20,KOGO AI,Bengaluru,$2.7M,Early Stage,MapmyIndia,"Inc42 AI Startup Tracker, Feb 2026","Enterprise AI agents, scaling",Pre-Seed / Seed,,needs-resolution,,
21,Drizz,Bengaluru,$2.7M,Early Stage,"Stellaris, Shastra VC, Better Capital","Inc42 AI Startup Tracker, Feb 2026","AI infra, recent raise",Pre-Seed / Seed,,needs-resolution,,
22,Neuralzome Cybernetics,Bengaluru,$2.7M,Early Stage,"8X Ventures, SIDBI, IIM Ahmedabad","Inc42 AI Startup Tracker, Feb 2026","Robotics AI, scaling",Pre-Seed / Seed,,needs-resolution,,
23,CompUP,Bengaluru,$2.5M,Early Stage,"Three State Capital, Y Combinator","Inc42 AI Startup Tracker, Feb 2026",YC-backed,Pre-Seed / Seed,,needs-resolution,,
24,NeuralGarage (VisualDub),Bengaluru,$2.5M,Early Stage,"Exfinity, AWS, Google for Startups","Inc42 AI Startup Tracker, Feb 2026","Big-ticket clients, scaling",Pre-Seed / Seed,,needs-resolution,,
25,CodeKarma,Bengaluru,$2.5M,Early Stage,"Prosus Ventures, Accel, SenseAI","Inc42 AI Startup Tracker, Feb 2026","AI infra, well-backed",Pre-Seed / Seed,,needs-resolution,,
26,Enkrypt AI,Bengaluru/Brighton,$2.4M,Early Stage,"Berkeley SkyDeck, BoldCap, Arka","Inc42 AI Startup Tracker, Feb 2026","AI security, scaling",Pre-Seed / Seed,,needs-resolution,,
27,Beatoven.AI,Bengaluru,$2.4M,Early Stage,"Entrepreneurs First, Redstart Labs, Google","Inc42 AI Startup Tracker, Feb 2026",~1M registered users,Pre-Seed / Seed,,needs-resolution,,
28,Vodex,Bengaluru,$2.3M,Early Stage,100X.VC,"Inc42 AI Startup Tracker, Feb 2026","AI sales agents, scaling",Pre-Seed / Seed,,needs-resolution,,
29,Slang Labs,Bengaluru,$2.2M,Early Stage,"Google, Endiya Partners","Inc42 AI Startup Tracker, Feb 2026","Voice AI, established since 2017",Pre-Seed / Seed,,needs-resolution,,
30,Gushwork.AI,Bengaluru,$2.1M,Early Stage,"Lightspeed India, NexWave Capital","Inc42 AI Startup Tracker, Feb 2026","Recent raise, scaling",Pre-Seed / Seed,,lever,https://jobs.lever.co/gushwork,"medium (auto-resolved, 13/16 listed roles are India-located)"
31,Maino AI,Bengaluru,$1.8M,Early Stage,India Quotient,"Inc42 AI Startup Tracker, Feb 2026",Early stage,Pre-Seed / Seed,,needs-resolution,,
32,QuickAds,Bengaluru,$1.7M,Early Stage,Kae Capital,"Inc42 AI Startup Tracker, Feb 2026",Early stage,Pre-Seed / Seed,,needs-resolution,,
